intent|prompt
Comedia|«Esta conversación es antigua y rancia», dice uno de los personajes durante el clímax final de la cinta. Y no va falto de razón. Perfectos Desconocidos está plagada de individuos casi tan desagradables como fácilmente identificables. Son esos seres cuñadiles con los que tenemos que lidiar durante nuestro día a día, ya sea por compromisos familiares, laborales o porque inexplicablemente formen parte de nuestro círculo de amistades. Existen. Están ahí. Nos vemos obligados a soportarlos. Y la gracia —o carencia de ella, según se mire— es que aquí son retratados con una precisión milimétrica.En una cena formada por un grupo de amigos de toda la vida, se propone jugar a un juego que consiste en dejar los teléfonos móviles encima de la mesa y leer en voz alta todos los mensajes que les vayan llegando durante la velada. Naturalmente, este acto kamikaze acabará destapando todos los secretos que guardasen entre ellos. Que no serán pocos, claro, porque de lo contrario no habría película. Como es de esperar, tendrán lugar varios giros, traiciones, alianzas inesperadas y alguna que otra trampa para intentar no arruinar sus vidas para siempre.Pese a que parece una propuesta idónea para que Álex de la Iglesia dé rienda suelta a todos sus tics habituales, aquí nos toparemos con una versión suya mucho más contenida y comedida que de costumbre: poca violencia, poco desfase y poco peligro en las alturas. Seguramente esto se deba al hecho de que se trate de un remake de la italiana Perfetti Sconosciuti y haya preferido seguir a pies juntillas su argumento. De todos modos, no resulta muy complicado adivinar a ciegas cuáles han sido las aportaciones de Álex y su compinche Jorge Guerricaechevarría al guión original. Sin entrar en detalles, la mayoría de cambios consisten en adaptar los diálogos, pero hay un añadido que destaca sobre todos los demás hasta el punto de parecer que nos hayan colado, sin avisar, un remake encubierto de Coherence.A excepción de Eduardo Noriega, que ya tal, el casting es espectacular. Podemos hablar ya de la mejor actuación que se ha visto en pantalla de Belén Rueda, pero todos hacen un trabajo excepcional y resultan creíbles, naturales y cercanos. Concretamente, Eduard Fernández protagoniza una escena inesperadamente emotiva y profundamente humana en lo que, por otra parte, es una película cargada de misantropía. No es raro que en el cine de Álex de la Iglesia termine abusándose del histrionismo y el griterío, al fin y al cabo es marca de la casa (y, en su defensa, suele funcionar), pero aquí se opta por una tensión mucho más sutil donde la cosa no se desmadra hasta que sea estrictamente necesario.Con un final ligeramente menos decepcionante que el de su referente —aunque más previsible debido a su propia naturaleza y a las pistas que nos van dejando durante el metraje—, Perfectos Desconocidos nos deja con la sensación de que su punto de partida daba para muchísimo más. Algunos chistes están un poco anticuados y a veces es difícil distinguir cuándo los personajes están siendo unos cuñaos y cuándo lo está siendo el guionista. Aun así, no por ello deja de funcionar como un tiro. Tensa, divertida a ratos, con un ritmo perfecto, unas actuaciones sorprendentes y un mensaje ambiguo. No será el mejor trabajo de su director, pero tampoco es el encargo impersonal que podría haber sido. Echadle un ojo si queréis, raro sería que os arrepintierais.Crítica original en: http://cineenserio.com/perfectos-desconocidos/
Comedia|"Sorprende que Carlos Boyero sugiera que esta película no tiene el defecto de otras de las de Alex de la Iglesia en las  ""que los arranques y planteamientos brillantes no tienen continuidad"". Porque para mí este es el problema fundamental. El argumento es prometedor: no serán pocos los que se hayan acercado al cine curiosos por ver cómo se desarrolla ese  ""juego de la verdad"" modernizado. Los primeros conflictos tienen gracia y uno se relame imaginando la que se va a armar. Pero luego decepciona. La película pierde tensión con las continuas idas y venidas del comedor al balcón; los conflictos no son tan imprevisibles como prometían; el elemento sobrenatural no aporta mucho; y el final (tanto las últimas peleas, como el epílogo con su ""moraleja"") se queda descafeinado.Por otro lado, los diálogos, chistes y problemas son todos vulgares. A veces uno echa de menos en el cine contemporáneo algo más de inteligencia y buen gusto. Pero esto no son más que manías personales."
Drama|"Se suele decir que hacer reír es difícil, más incluso que arrancar las lágrimas. Pues yo a esto le daría una vuelta, y diría que ""hacer reír es difícil mientras que las lágrimas están en la rampa de salida"". Y Mar Adentro es una de las pocas películas que lo consigue, el que nos riamos de un gag, por muy liviano que sea, cuando estamos asistiendo a una tragedia tan bien narrada por Alejandro Amenábar, y tan bien interpretada por todo el reparto, que intentar evitar que los sentimientos afloren es una pérdida de tiempo.Sí, todo esto para decir que yo he llorado viendo la película y he estado con los ojos encharcados en más de una escena, y de dos, y de tres. La historia es bastante simple, y nos narra como un chaval de 25 años calcula mal un salto y se queda tetraplégico al romperse el cuello en la caída. Viviría con esa agonía, postrado en una cama, casi tres décadas hasta que finalmente consiguió la ayuda necesaria para ejecutar su derecho a prescindir de su propia vida. Es una historia verídica, todos los españoles conocemos por A o por B a Ramón Sampredro, o al menos nos suena.La razón de ser de la película es ambientarse en los dos años previos de su muerte, en cómo conoció a una abogada (genial Belen Rueda) que le intentaría hacer cambiar de opinión, o a la pueblerina Rosa (interpretada por Lola Dueñas), que le insuflaría de vida en los momentos más duros. En un triángulo amoroso bastante extraño, las sensaciones fluyen como pocas veces lo han hecho, todas en torno a un inmenso y brillante Javier Bardem que no sólo interpreta, sino que durante dos horas es el propio Ramón Sampedro. La labor de maquillaje es increíble y lo demás lo aporta él, con su gran talento. Las escenas oníricas son de lo más precioso que he visto nunca, esas en las que la fantasía se apodera de la pantalla arropada con una BSO brillante, formada por temas del propio Amenabar y otros de música clásica. Me quedo, sin duda, con la escena en la que Bardem/Ramón ""vuela"" hasta la playa para ver a Belén/Lucía, con el tema ""Nessun Dorma"" sonando de fondo. Inmensa, de 10.La cinta de Amenábar tiene muchísimos aciertos y pocos errores, pero sobretodo tiene corazón y alma. Con esto se consigue no sólo simpatizar con el espectador, sino hacerle reflexionar sobre ""¿Y tú qué harías?"", hacerle partícipe de la trama hasta el punto de que casi podría considerarse uno más en torno a Sampedro, y en el momento clave, conseguir que se sienta tanto como sus propios familiares la agonía de su desaparición. Un final agrio pone la guinda final a una de las mejores películas españolas de este siglo que, por suerte, se vio recompensada con un montón de premios. Lástima que Amenábar esté en ""stand by""... a ver con qué nos sorprende en su próxima película."
Drama|"Supongo que, si yo alguna vez llegara a ese momento en que uno se siente una carga para los demás (incluso aunque los demás te quieran lo suficiente y no admitan jamás que eres una carga), si yo llegara a esa situación sin salida en la que uno siente que el peso de la infelicidad y de la impotencia vital es mucho más grande que el peso de los destellos breves de felicidad... Tal vez yo también querría morir. Tal vez yo también buscara un medio para terminar... Y, quién sabe, para empezar en lo desconocido. Yo, como Ramón, tengo ese pálpito de que no hay nada después de la muerte. De que es como antes de nacer. Pero, ¿qué sé yo? ¿Qué sabemos? En cualquier caso... Puede que llegue un momento en la vida en que uno entra en ese sendero sin retorno en el que la muerte se vislumbra como un consuelo. Como algo preferible a sentir la vida como una obligación dolorosa, y no como un derecho repleto de posibilidades. En que la nada, o lo desconocido que haya más allá, sea una opción más seductora que la cárcel de un cuerpo truncado, y de una vida que ha perdido todo su aliciente.Lo cierto es que no sé lo que haría. No soy quién para juzgar. A veces creo que los que defienden la conservación de la vida a ultranza tienen razón, a veces creo que quienes deciden voluntariamente y en plenitud de sus facultades privarse a sí mismos de ella son los que realmente tienen derecho a decidir.Qué poco sé de estas cosas. Imagino que nadie aprende por cabeza ajena. Y, la mayoría de las veces, ni siquiera por la propia.Yo no soy quién para decirle a Ramón por qué debería haber seguido viviendo. Decidiera lo que decidiera, ni él ni nadie se habría librado del sufrimiento. El de vivir, o el de morir. Un proverbio hebreo dice que una hora de vida es vida. Es cierto. Y la calidad de esa hora quizás determine si merece la pena o no. Unos dirán que la merece, sea como sea. Otros dirán que una hora sin dignidad, sin libertad y sin motivación, no la merece. ¿Quién tiene razón?Si me escuchas, Ramón, ya sabrás que yo también vivo junto a un mar infinito y verde que sobrevuelo en mi imaginación cada día. Como para ti, mi cuerpo a veces es insuficiente para lo que mi imaginación es capaz. En esos momentos soy como tú y vuelo contigo, en busca de algo que tal vez nunca encontraré.""Mar adentro, mar adentro,y en la ingravidez del fondo,donde se cumplen los sueños,se juntan las voluntades para cumplir un deseo.Tu mirada y mi mirada,como un eco repitiendo sin palabras:""más adentro, más adentro,hasta más allá del todo por la sangre y por los huesos.""Pero me despierto siempre,y siempre quiero estar muertopara seguir con mi bocaenredada en tus cabellos."""
Drama|Los humanos estamos llenos de miedos y nos da pánico hablar de según que tema; si la muerte ya de por si es un tema tabú; que decir de la muerte por voluntad causada por una situación irreversiblemente trágica. Todos tenemos en nuestra cabeza a Ramón Sampedro y recordamos aquellas imágenes en la que se quitaba la vida mientras se bebía una pócima mortal; pero nunca supimos más, como de costumbre, que dos telenoticias y una portada de periódico. Pues bien, Alejandro Amenabar, después de provocarnos miedos y sustos en sus anteriores trabajos, viene dispuesto a remover conciencias enfrentándose a lo que más duele.De lo primero que uno se percata, es de la inmensa delicadez con que se mueven los habituales elementos de una película, es un trabajo artesanal, en donde se miden al milímetro los ingredientes de un melodrama contundente. Amenabar domina perfectamente el ritmo y conduce al espectador por donde el quiere. El film te mantiene al borde del lloro mientras deja que sueltes una sonrisa a base de pequeñas complicidades del guión; hasta que inevitablemente explotas donde tu sensibilidad no pueda más; personalmente la furgoneta y la cara de Manuela fueron mi debilidad. El éxito es fruto de un puzzle magistralmente elaborada de gente que sabe tocar muy bien el material con el que trabaja. Javier Bardem; llega a lo más alto y da, una vez más, un gran recital, demostrando su poder camaleónico y su enorme capacidad para dominar cualquier personaje y dotarlo de un carisma especial. El reparto que lo acompaña es sobresaliente y permiten que la sinfonía roce la perfección; una familia casi de documental, con Mabel Rivera a la cabeza. Es evidente que la película creará un gran foro de opinión y recogerá infinidad de premios, incluso puede que se cuele algún que otro Oscar, pero una vez vista, de lo que no cabe duda es que Alejandro Amenabar sabe debatir y tratar los temas más impactantes; siempre relacionados con el miedo y la muerte; y hasta ahora ha demostrado conocer muy bien al ser humano.   IBG
Drama|COSAS QUE ME GUSTANEl elenco de actores: fantásticos del primero al último, con mención especial a Mabel Rivera, que es un portento que se desconocía hasta la fecha.La inteligencia de Amenábar, su capacidad de conectar con el público y de hacer las cosas bien, medidas, cuidadas y con cariño.Esa secuencia en la que Ramón Sampedro, en sueños, sale por la ventana y vuela hasta la playa, para encontrarse con Julia.La música de Carlos Nuñez y la voz de Luz Casal.El portentoso trabajo de maquillaje, que transforma a Javier Bardem.Que Amenábar escriba sobre las historias que le apetece contar, sin importarle el posible debate que susciten (o tal vez esto ni se le ocurrió)COSAS QUE NO ME GUSTANQue alguno de los personajes aparezca caricaturizado, como el hermano de Ramón, zoquete y cerril, o como el cura… -personalmente no siento yo simpatía por el gremio, grosso modo, pero el personaje de Pou es un poco de perogrullo-Que Amenábar, con lo inteligente que es y las habilidades innatas que posee para jugar con las emociones del público, se marque esa escenita sensiblera que no sé cuánto dura, pero que se me hizo interminable, en la que los personajes, en silencio, se despiden de Ramón, y el público gasta toda la celulosa del planeta sonándose los mocos…Que Amenábar edite una y otra vez las imágenes del momento en que Ramón Sampedro se desgracia. Con una hubiese valido.A CERCA DEL PROTAGONISTA……y sin la menor intención de meterme con Bardem, su interpretación tampoco me parece para tanto comparándola con las que hace siempre. Aquí se limita a tirarse en una cama, estarse quietecito y hablar con acento gallego… el mayor mérito, insisto, es de los maquilladores, ya que él es capaz de interpretar bien a cualquier personaje, como cualquier buen actor, y éste, concretamente, no pasa de ser una imitación bien hecha de un señor real.COSAS QUE ME CABREAN (Ajenas a la película)El cine es una industria, tan digna como otra cualquiera, como el vino o el aceite, una industria española, tanto como el jamón serrano, que fomenta empleo, como cualquier otra. Pero se maltrata a esta industria sistemáticamente por determinada sección de la clase política. Mar adentro no hace apología de la eutanasia ni pretende abrir un debate social sobre la necesidad de legalizarla. Mar adentro es la biografía de un señor que pidió la eutanasia. PUNTO. Y esta gente tuvo la caradura de denominar a la película como panfleto, cuando fueron ellos, precisamente, los que la utilizaron como tal. Tanto se exprimen los sesos por abrir mercados a la exportación del producto nacional y con una película que se exporta sola y que para colmo gana el Oscar a la mejor película de habla no inglesa, todo son trabas y se insta a los afines a no verla, o a ponerla a parir sin haberla visto (que es peor). Sigo con spoiler sobre Million Dollar Baby
Comedia|"Aquí esta de nuevo la panacea, el agua de mayo, el rompetaquillas. Y digo yo que si esta es la película que va a salvar el cine español, el cine español no merece ser salvado, sino hundirse en la MIERDA.Que engañado me tenias amigo, yo que en los tiempos de Evilio te tenia por el outsider español, una suerte de Roger Corman o John Cassavetes ibérico (en su momento llegue a comprar tu ""Cortos Greatest Hits History"" ¿Te suena?), y has resultado ser un farsante sacacuartos, y un director penoso. Creia que las limitaciones de tus cortos era por falta de presupuesto y experiencia, pero no, eran por falta de talento. Aunque míralo así, de pura mala, haces buenas  las 3 anteriores. Quien diría que se echaría de menos a José Luis Moreno haciendo de malo, tan mal actor como carismática presencia en pantalla, supliendo la función aquí un tal Francisco (¿?) que se supone que es cantante, se supone que es famoso, se supone debería conocer. Será que no soy fan de La Noria, ese programa que tanto te gusta.Segura, has perdido el poco crédito que te quedaba, una cosa es jugar con la tradición y personajes de la España cañí y otra que cojas UN TROZO DE MIERDA y se lo RESTRIEGUES POR LA CARA A LA GENTE. Una cosa es que famosillos de medio pelo entren al trapo y acepten el cameo, y otra pagarle 60.000 euros a Belén Esteban, y encima por salir 3 minutos. Por todo eso y mucho más, amiguete, tengo algo para ti. (SPOILER)"
Comedia|"Sin palabras, así me ha dejado esta última película de Santiago Segura como director. Mientras la Alianza y el Imperio disputan las sangrantes tierras libias, mientras el futuro de Japón y la segunda temporada de Claymore penden de un hilo nuclear, se estrena la cuarta entrega de Torrente con su propia aportación a las catástrofes mundiales: una película con Belén Esteban y el Hijo de la Pantoja (ya sabéis cuál).Millones de parados españoles son expuestos a la contemplación, activa o pasiva, de cómo un hatajo de gentuza de mierda cobran dinero por ser gentuza de mierda -en 3-D. Y no hace falta ir al cine: el bombardeo se produce desde televisión, prensa y marquesinas de los autobuses, la gran esperanza blanca de la taquilla española: un auténtico producto sin ganas, sin alma, sin credibilidad, sin gracia. En que las bromas se huelen a kilómetros, en que se desvela a un director vencido y vendido a su propio éxito, capitulando vergonzosamente y por fin renunciando a retratar -o eso se vendía- un panorama casposo del que el ""amiguete"" Santiago Segura ha pasado a formar parte desde hace ya mucho tiempo. Un festival de cameos infumables que ni siquiera pasará por el tolerante filtro de muchos de los fans de la saga y ni mucho menos convencerá a los que no la tragamos desde un inicio: sobre todo porque en general iremos en calidad de resignados acompañantes. Se pueden rescatar un par de cosas, aun con reparos: la partitura de Roque Baños está bien; lástima que Tamara LaMala no estuviese disponible para hacer la banda sonora y tuvieran que encomendárselo a un profesional. Queda casi hasta mal. Por otra parte, muchas novias aguantarán este suplicio con un espíritu más estoico sabiendo que un visionado de la cosa ésta equivale por lo menos a quince comedias románticas. No es un gran consuelo, pero quizás sirva para reemplazar el acre sabor de la basura con el dulce paladar de la venganza."
Comedia|Acabé la licenciatura hace años coincidiendo con los inicios del pajillero este. En último curso de carrera con el catedrático de historia del cine de la facultad de historia, asignatura optativa, asistí a una conferencia entre cientos de estudiantes de Compostela, Galicia y allende para supuestamente aprender del hombre de moda. Supongo que corrían los tiempos de la bestia del gran Alex de la Iglesia. Estaban en el paraninfo de la Universidad Amenábar, Icíar Bollaín y Santiago Segura; los tres, casi por estrenarse en público. Santiago Segura hizo pasar vergüenza a Alejandro e Iciar por su insolente respuesta ante un estudiante, apenas adolescente, que se preguntaba sobre el porqué de las tetas y culos en toda peli española y sin pretexto. Por cierto, a lo cual, Segura, no dio respuesta. Únicamente insultó, despreció y humilló -al chaval- revelándose como un tipo inseguro, receloso, mezquino y con mucha mala baba. Es cierto que era joven; pero más jóvenes éramos nosotros. Algún estudiante, recuerdo, le ofreció un bozal.   Las preguntas de las butacas de los estudiantes se dirigieron entonces hacia Amenábar y Bollaín. Ninguna más hacia el tal Santiago, que iba menguando y menguando cada vez más, despreciado por todos nosotros, hasta que se hizo... algo chiquitito ou ou ou... Y ya nadie le prestó atención al sujeto en cuestión.  Sin embargo... ahí lo tenéis. Número 1 en el taquillazo. Gracioso o no, para gustos, el tipejo este es un sátrapa. Estaría bien tenerlo en cuenta. Y el tonadillero calvo ese, hijo de Paquirri y la EsPantoja es para ya renunciar a la vida y tirarse de un puto puente o solicitar asilo donde se pueda. Lo que sea con tal de no verlos y además juntos. Perdón! una arcada...
Comedia|Hola me llamo Inés, tengo 10 años y fui con mis padres a ver ayer la película.La película me ha encantado. La historia que cuenta es muy entretenida,  te ríes mucho con los personajes, pero no de ellos ni de su discapacidad. La película te enseña a que hay que aprender a respetar a todo el mundo, y que aunque tengan una discapacidad intelectual tienen los mismos sentimientos que nosotros y les gusta que les trate con cariño y respeto.Es una película para toda la familia.
Comedia|"Ante todo decir que me resulta muy incómodo verter una opinión negativa sobre esta película. ¿Saben por qué? porque no se la merece: La intención es buena, que vaya mucha gente a verla es bueno, que puede ayudar a muchos a cambiar la forma de ver y tratar a personas diferentes es bueno... pero, lo siento, la peli es mala (quiero decir, me parece mala).Además, es floja sin paliativos: Si en lugar de ser de Javier Fesser (a quien muchos tenemos simpatía... por El Milagro de P. Tinto y por ser hermano de quien es) fuera un telefilme de sobremesa, y en lugar de un equipo de personas con discapacidad psíquica fuera un equipo de frikis inadaptados en un instituto americano, pero todo lo demás fuera exactamente igual, no creo ni que tuviera críticas en filmaffinity. Sería un producto de segunda clase sin ningún tipo de repercusión.Lo siento (otra vez) pero es una sucesión de clichés, estereotipos, lugares comunes, simplicidades, escenas mal resueltas, diálogos irreales, esa música (de la sección de ""musicas emotivas para teleseries"" del Carrefour) metida cada vez que se supone que la escena es emotiva (para que, mientras echas la lágrima, no analices lo que está pasando), ese final... oh, por dios... (no digo nada). No sé... ¿no lo hemos visto todo, en forma y fondo, ya mil veces en Antena 3 después de comer los sábados??? ¿O soy yo el único?.Bueno, creo que una crítica mala no debe ser muy larga ni muy cruenta aunque sea sólo porque mucha gente ha puesto ilusión y trabajo en el proyecto, y eso merece un respeto. Y en este caso, mucho más ya que, insisto, la empresa es noble y seguro aporta algo de empatía y sensibilización a mucha gente (cuanto dure ese algo, ya es otro cantar)... pero este es un espacio de análisis de ""CINE"", y como cine... con pesar lo digo: baratita baratita.Mis disculpas por esto... no me siento orgulloso, pero no puedo dejar de ser honesto.Vayan a verla, sin embargo... no se pasa un mal rato si no lo piensas mucho y tiene momentos simpáticos (entre otros sonrojantes, eso sí). Es entretenida y tierna, esto no se lo niego.Por eso y por su vocación sensibilizadora y su buena intención, le doy un 5 (aunque como película en sí le daría menos). ¿He dicho ya que lo siento?"
Comedia|"Brillante giro en la filmografía de Fesser.La discapacidad siempre es complicada de abordar. Si no se hace correctamente se considera ofensa.Si te quedas corto puede resultar ñoño y paternalista.Campeones consigue superar esas barreras para plantear una historia redonda y equilibrada en la que el sentido del humor expone las luces y las sombras de la realidad en la que vivimos.El coro de actores amateur arropan la estupenda interpretación de Gutiérrez y cía. desbordando la película de sinceridad y naturalidad, regalándonos momentos mágicos y divertidos pero tremendamente reflexivos. Personas que nada tienen que ver con el mundo del cine, ajenos a los egos y superficialidades del postureo, que la hacen real y cercana.Con esos ingredientes y la fórmula Fesser podemos disfrutar una película completamente Pendelton en la que nos reimos, nos emocionamos y sentimos como se remueven los sentimientos durante más de dos horas que pasan volando.Debería ser de obligado visionado para familias completas (sobre todo chavales adolescentes) para entender qué es la normalización, aprender grandes lecciones de vida y sobre todo darnos cuenta de que para muchas cosas; las emocionales principalmente; los auténticos discapacitados somos los ""normales""."
Animación|Hay que valorar a “Las aventuras de Tadeo Jones” como lo que realmente pretende ser: un entretenimiento familiar sin ninguna pretensión salvo la recompensa en la taquilla. Obviamente la animación española ha dado un notable salto de calidad y madurez recientemente con “Arrugas”, “Chico & Rita” y el cortometraje “La dama y la muerte”. La cinta de Enrique Gato supone un avance técnico de cara al futuro para poner los necesarios pilares y cimientos. Si uno mira los tres cortometrajes (el último como viral de la propio largometraje) que se han realizado del personaje notará una clara evolución técnica. Ese final del camino a través de diez años y dos cómics de Jan adicionales, convierten “Las aventuras de Tadeo Jones” en un trampolín de futuro. Realmente el ‘ensueño’ del protagonista finaliza en la primera secuencia de la película y las hazañas empiezan a escribirse en marco ‘real’ desde ese punto. Un punto en el que la película parece limitada a funcionales plantillas de mascotas y escuderos enmarcados en un filme tradicional de aventuras. No entiendo el backstory que se ha formado al dotar de un universo al personaje. Tadeo Jones desde pequeño siempre ha querido ser arqueólogo. Sabemos que sus padres murieron y fue criado por su abuela. El problema es que el choque y parodia sobre Indiana Jones es que Tadeo nunca estudió nada vinculado con la arqueología y es un obrero de la construcción. ¿Y por qué? ¿Por qué no ha podido estudiar? Su abuela, además, siempre le apoyó para que sus sueños se hicieran realidad desde su infancia. Entonces, ¿por qué Tadeo no ha estudiado o ha intentado ser arqueólogo? ¿Es un zoquete? Todavía se entiende menos que tenga una suscripción al ‘National Petrographic’ y que no tenga ni idea, al parecer, de historia. Entendemos que no pasa de las fotos y que ese contraste forma parte del encanto, pero en “Las aventuras de Tadeo Jones” ha quedado enterrado y fosilizado: no nos encontramos ante un geta y un vividor, un personajillo aprovechado que no quiere dar un palo al agua pero desea aferrarse a los sueños de su infancia dando vida a su imaginación. Simplemente Tadeo queda como un idealista que quiere que le llegue su oportunidad caída del cielo. Y, al parecer, esta es su aventura…Me puede interesar si esa despreciable y violenta corporación Odysseus tiene algo que ver con la empresa de cazatesoros Odyssey… Por lo demás, poco más que se desenterrar. La película realmente funciona cuando se convierte en una tradicional y eficaz cinta de aventuras, dejando apartado su lado infantil y adentrándose en la acción original. Muchas veces criticamos por criticar aunque en la diferencia se halla el detalle, ese toque que tienen las producciones de Pixar, Aardman y… Dreamworks… o aquello que catapultó a “Rango” de la monotonía para hacerla genial y reivindicable. Ese pincelazo maestro y toque que, por desgracia, “Las aventuras de Tadeo Jones” no tiene y tampoco se molesta en demasía en evocar.
Comedia|Un cameo tras otro (algunos muy fuera de lugar), esto es en lo que se ha convertido la saga de Torrente. Esta película tiene un guión nefasto desde el principio hasta el final. Ha perdido la gracia, las escenas son inconexas y hay actuaciones deplorables (entre ellas la del propio Santiago Segura).Un par de escenas con gracia intentan salvar una floja producción, pero no hay manera.
Comedia|"Torrente 3 es el claro ejemplo de la inmensa incultura cinematográfica que desborda nuestro país (Siento si alguien se ofende, pero más me ofendí yo viendo la película y oyéndo a la gente reírse de las mayores abominaciones amorales presenciadas en una pantalla).El señor Segura, que empezó dándoselas de alternativo y ""molón"", y que ahora está tan podrido de dinero que ha conseguido que su película salga anunciada hasta en las revistas de ""caza y pesca"", supera la barrera del ridículo (cosa que además hace a posta) y se adentra peligrosamente en lo inmoral. Esos diez minutos iniciales, con la parodia del 11 S, son una clara muestra de los límites que nadie debe ni siquiera plantearse superar, pero que Segura atraviesa con suprema zafiedad e insultando sin ningún tipo de verguenza la inteligencia y, sobre todo, la moral de los espectadores. Supongo que si su mamá o su papá hubieran ido en alguno de los aviones no se tomaría las cosas así, creo yo, aunque, viniendo de este sujeto, a lo mejor hasta se lo tomaba a risa tambien (es que es tan moderno él).A ver qué pasa si los américanos hacen una de sus cutres comedias parodiando el 11 M, con trenes explotando e imbéciles por medio, a ver cómo se lo tomarían esos españoles que se partían en el cine, o los familiares de todas las víctimas que murieron ese día.Simplemente abominable.Pero, claro, ellos van de super molones y simpáticos, y a todo le llaman parodia, como si ese palabro justificara utilizar la muerte de miles de seres humanos para hacer un chiste.Pero esto es Torrente, y todo vale, y la taquilla sigue creciendo, y la película ganado dinero. Encontrar una explicación a esto supone un estudio sociológico de resultados demasiado temibles, creo yo; por que, si no, nada puede justificar el éxito de este bodrio zafio y amoral de proporciones ciclópeas.Que cada uno vea lo que quiera y mantenga sus valores morales como quiera. Hace mucho que uno aceptó la inmensa incultura del espectador medio español."
Comedia|Admiro mucho a Santiago Segura. Un tío que partiendo de la nada mas absoluta se a hecho a su mismo a base de talento, ingenio, descaro y cojones. ¿Dije talento? Si, el amiguete es uno de los showman con mas ingenio de este país (cada vez que lo entrevistan es un descojone total) y un actor aceptable, siempre que se mueva dentro de unos parámetros mas o menos cómicos. Pero como director, lo siento amigo mio, pero no me la pegas. Seguí con curiosidad tu carrera en cortometrajes, la  saga Evilio era simplona pero curiosa y el corto Perturbado, ganador de un Goya y todo, atisbaba cierto brote de talento narrativo.Cuando te pasaste al largo con Torrente me pareció divertido, una forma de ganar dinero y afianzarse en el cine español hasta tener un cierto peso y afrontar proyectos más personales, me dije yo a mi mismo. Con Torrente 2 pensé lo mismo, aunque ya la cosa iba en clara cuesta abajo. Pero lo de esta tercera parte directamente clama al cielo. Santiago se que tienes un cierto talento por ahí escondido, hazlo salir algún dia. O sigue haciendo torrentes hasta que el publico quiera y sigue llenándote los bolsillos (nada que objetar, tal vez yo haria lo mismo).
Drama|Debo reconocer que los escenarios son impresionantes, casi de película americana, basándose en un libro, al que Fernando González Molina no ha logrado sacar ni la mitad de su jugo.   Esto es lo que echamos de menos en la superproducción PALMERAS EN LA NIEVE:.Que los actores aprendan a vocalizar, a dar inflexión a la voz; en definitiva: transmitir con ese instrumento fundamental, al que dedican tan poco, la mayoría de jóvenes  actores y actrices que ocultan sus limitaciones interpretativas con voces susurrantes,   Viene a mi memoria una escena de la película PROPIEDAD CONDENADA, donde comparten secuencia Natalie Wood y Robert Redford.  Él le dirige una mirada a ella, que resulta más elocuente que cualquier diálogo. Eso es la magia del cine, que lamentablemente no existe en PALMERAS EN LA NIEVE.   Resulta lamentable basar una carrera en un físico, sin apoyarla con interpretaciones cuidadas estudiando profundamente el guión  para perfilar cada uno de los personajes y entregar la fascinación de una buena interpretación, en el momento preciso.No basta ser un chico majete que da bien en cámara. La juventud se agota y los recursos artísticos son lo único que te permitirá sobrevivir en una profesión tan inestable como esta.   Me apena comentar todo esto porque quisiera que el cine español, recuperara una dignidad que ha perdido, y ya solo imita a una maltrecha Dama desflorada.
Drama|Tengo la impresión (que por supuesto puede ser errónea) de que la crítica ortodoxa no se permite considerar para bien a los actores televisivos y guapos oficiales, cuando hacen incursión en el cine. Digo actores, porque creo que no es así con las actrices.Y creo que sin llegar a lo excepcional, Mario Casas ha hecho buenos papeles pero poco reconocidos en «Ismael» y en «Tres metros sobre el cielo». Y muy buen trabajo en «Mi gran noche».Tampoco recuerdo haber sido consciente hasta ahora de lo magnífico actor que es Emilio Gutiérrez Caba. Aunque sí guardo en mi memoria sus actuaciones en «El cielo abierto» y en «La torre de Suso».Saco la cuestión a colación porque en «Palmeras en la nieve» hay dos películas de distinto valor según si Emilio Gutiérrez Caba esté presente o no. Su personalidad llena de veracidad la trama y uno se deja llevar por sus palabras y sus gestos. Sin embargo, en su ausencia, se le ven las costuras al artilugio y la atención decae. No digo yo que sean un buen y un mal actor los protagonistas masculinos. Digo que, quizá, representan registros interpretativos opuestos que casan mal y lastran el resultado.La historia, por otro lado, tiene gran atractivo. Una producción española que cuenta con buen número de actores y cierto despliegue de medios. Que retoma la época colonial en Guinea Ecuatorial y presenta un relato de más de una vida, afín a esta época de exitosas series televisivas sobre el pasado reciente.Cuenta con Macarena García, que lo hace muy bien en su regreso tras su aclamado debut en «Blancanieves». Y con Adriana Ugarte, seguramente la actriz joven mejor valorada junto a Bárbara Lennie. Tiene elementos de superproducción y el aspecto técnico no desentona. Para disfrutarla, simplemente, no hemos de crear expectativas excesivas. No hay retrato profundo ni grandes dramas. Hay una historia que se sigue con facilidad y un entorno geográfico llamativo. Me queda la duda de si un metraje más condensado hubiera impulsado un mayor suspense. Pero no quiero acabar así mi artículo. La llegada de esta producción es una gran noticia y le deseo un buen resultado en taquilla.
